episode,train_return,steps,epsilon,q_rows,eval_winrate,eval_return
1,7.6425,20,0.995262,19,,
2,28.8682,19,0.990783,30,,
3,18.8049,16,0.987027,39,,
4,9.2419,21,0.982120,47,,
5,9.4854,17,0.978167,60,,
6,4.9076,20,0.973538,68,,
7,7.2013,25,0.967784,74,,
8,12.2829,17,0.963892,76,,
9,4.6949,21,0.959106,82,,
10,4.9559,17,0.955251,91,,
11,15.6862,15,0.951862,93,,
12,9.1034,15,0.948487,95,,
13,7.0014,18,0.944453,102,,
14,15.7743,20,0.939992,107,,
15,11.6227,22,0.935110,111,,
16,6.3188,20,0.930696,113,,
17,25.2993,14,0.927618,120,,
18,0.5138,17,0.923897,124,,
19,9.4835,18,0.919973,124,,
20,0.9823,16,0.916500,128,,
21,5.7052,16,0.913041,128,,
22,17.4718,14,0.910025,134,,
23,10.7405,17,0.906378,136,,
24,12.4556,17,0.902746,136,,
25,8.9257,17,0.899130,137,,
26,6.1453,18,0.895317,139,,
27,1.4273,12,0.892785,141,,
28,3.8837,17,0.889211,143,,
29,19.3236,14,0.886279,148,,
30,8.0712,15,0.883149,148,,
31,1.9321,18,0.879408,148,,
32,11.0361,22,0.874859,148,,
33,9.3588,18,0.871155,151,,
34,7.8070,18,0.867468,151,,
35,6.8833,21,0.863188,151,,
36,17.8166,14,0.860347,151,,
37,26.0232,11,0.858121,152,,
38,13.4916,17,0.854694,153,,
39,6.1249,15,0.851682,154,,
40,2.1060,17,0.848282,155,,
41,1.1738,16,0.845095,155,,
42,11.5409,17,0.841723,155,,
43,25.2099,12,0.839352,158,,
44,7.2626,24,0.834630,162,,
45,39.6987,18,0.831107,165,,
46,4.0038,15,0.828183,166,,
47,14.3198,9,0.826434,166,,
48,9.7385,15,0.823528,166,,
49,2.4642,11,0.821404,167,,
